Iter 0: depth_encoder_grad=10.265619, depth_actor_grad=21.947660, loss=2.2845
Iter 1: depth_encoder_grad=26.141467, depth_actor_grad=35.320189, loss=2.5705
Iter 2: depth_encoder_grad=20.651574, depth_actor_grad=28.883531, loss=2.5553
Iter 3: depth_encoder_grad=23.087394, depth_actor_grad=30.647296, loss=3.9320
Iter 4: depth_encoder_grad=11.607866, depth_actor_grad=25.908285, loss=4.2659
Iter 5: depth_encoder_grad=15.431858, depth_actor_grad=18.277014, loss=4.1962
Iter 6: depth_encoder_grad=5.447480, depth_actor_grad=12.533451, loss=4.1314
Iter 7: depth_encoder_grad=11.269332, depth_actor_grad=19.985665, loss=4.6442
Iter 8: depth_encoder_grad=14.994288, depth_actor_grad=21.760185, loss=4.5733
Iter 9: depth_encoder_grad=14.267336, depth_actor_grad=19.064563, loss=4.4377
Iter 0: depth_encoder_grad=8.338423, depth_actor_grad=75.176521, loss=2.5757
Iter 1: depth_encoder_grad=20.927768, depth_actor_grad=275.185654, loss=4.0091
Iter 2: depth_encoder_grad=10.598764, depth_actor_grad=151.035420, loss=3.7607
Iter 3: depth_encoder_grad=9.616874, depth_actor_grad=115.276445, loss=4.3307
Iter 4: depth_encoder_grad=6.759290, depth_actor_grad=81.588016, loss=5.0033
Iter 5: depth_encoder_grad=4.039022, depth_actor_grad=92.303855, loss=5.4526
Iter 6: depth_encoder_grad=7.996499, depth_actor_grad=98.602556, loss=5.7375
Iter 7: depth_encoder_grad=9.505549, depth_actor_grad=96.691498, loss=5.0341
Iter 8: depth_encoder_grad=6.676162, depth_actor_grad=65.178824, loss=4.5962
Iter 9: depth_encoder_grad=21.368574, depth_actor_grad=45.719327, loss=4.7398
Iter 0: depth_encoder_grad=8.484549, depth_actor_grad=48.623083, loss=2.2568
Iter 1: depth_encoder_grad=16.820211, depth_actor_grad=127.956154, loss=3.1468
Iter 2: depth_encoder_grad=13.154083, depth_actor_grad=135.897768, loss=4.0452
Iter 3: depth_encoder_grad=8.335996, depth_actor_grad=96.989863, loss=4.8405
Iter 4: depth_encoder_grad=4.535081, depth_actor_grad=80.313419, loss=5.2274
Iter 5: depth_encoder_grad=8.241963, depth_actor_grad=107.841884, loss=5.0885
Iter 6: depth_encoder_grad=9.292502, depth_actor_grad=60.213159, loss=4.0492
Iter 7: depth_encoder_grad=6.735544, depth_actor_grad=30.114112, loss=4.0573
Iter 8: depth_encoder_grad=22.347107, depth_actor_grad=22.184704, loss=4.3006
Iter 9: depth_encoder_grad=18.563220, depth_actor_grad=49.939014, loss=4.1922
Iter 0: depth_encoder_grad=10.470628, depth_actor_grad=90.797123, loss=2.6121
Iter 1: depth_encoder_grad=24.974709, depth_actor_grad=207.057152, loss=4.7670
Iter 2: depth_encoder_grad=23.516342, depth_actor_grad=148.860494, loss=5.4542
Iter 3: depth_encoder_grad=6.941181, depth_actor_grad=133.889768, loss=5.0628
Iter 4: depth_encoder_grad=4.844512, depth_actor_grad=98.477220, loss=5.3273
Iter 5: depth_encoder_grad=4.991234, depth_actor_grad=64.166778, loss=5.1054
Iter 6: depth_encoder_grad=4.688980, depth_actor_grad=58.373262, loss=4.7748
Iter 7: depth_encoder_grad=5.981408, depth_actor_grad=52.115409, loss=4.5194
Iter 8: depth_encoder_grad=8.512609, depth_actor_grad=54.261721, loss=4.5025
Iter 9: depth_encoder_grad=10.455553, depth_actor_grad=51.246574, loss=4.4272
Iter 0: depth_encoder_grad=10.470586, depth_actor_grad=90.792408, loss=2.6121
Iter 1: depth_encoder_grad=24.963865, depth_actor_grad=207.178135, loss=4.7678
Iter 2: depth_encoder_grad=23.627695, depth_actor_grad=147.416287, loss=5.3959
Iter 3: depth_encoder_grad=7.393608, depth_actor_grad=134.965219, loss=5.0781
Iter 4: depth_encoder_grad=5.119337, depth_actor_grad=98.687164, loss=5.3526
Iter 5: depth_encoder_grad=4.318478, depth_actor_grad=65.562323, loss=5.1853
Iter 6: depth_encoder_grad=4.351751, depth_actor_grad=59.911342, loss=4.7943
Iter 7: depth_encoder_grad=5.944991, depth_actor_grad=56.967627, loss=4.6731
Iter 8: depth_encoder_grad=7.878227, depth_actor_grad=57.126562, loss=4.3945
Iter 9: depth_encoder_grad=12.376415, depth_actor_grad=56.065920, loss=4.4931
Iter 0: depth_encoder_grad=11.938341, depth_actor_grad=123.105127, loss=3.1860
Iter 1: depth_encoder_grad=20.012409, depth_actor_grad=249.677324, loss=4.3816
Iter 2: depth_encoder_grad=8.560786, depth_actor_grad=180.135243, loss=4.1642
Iter 3: depth_encoder_grad=6.024336, depth_actor_grad=124.868250, loss=4.1429
Iter 4: depth_encoder_grad=5.728116, depth_actor_grad=76.769179, loss=4.5730
Iter 5: depth_encoder_grad=7.034503, depth_actor_grad=35.447576, loss=4.3550
Iter 6: depth_encoder_grad=6.404602, depth_actor_grad=38.539299, loss=4.1227
Iter 7: depth_encoder_grad=3.299154, depth_actor_grad=37.347660, loss=4.0656
Iter 8: depth_encoder_grad=4.052741, depth_actor_grad=28.460300, loss=4.1101
Iter 9: depth_encoder_grad=3.906900, depth_actor_grad=27.543514, loss=4.2679
